deskripsi,kelas
"simple simmetrical medieval corner illustration fruit ornaments, fruit corners, monochromatic, dark green bg   ",fruit
"pure white fruit on a large tree, all fruit is white, a river runs nearby, abstract, cubism   ",fruit
"vitamin D advert, bright sun, multi people happy, sunglasses, fruit & fruit juice ,clear distinact faces high definition sharp facial features",fruit
"photo realistic product display style; a bunch of fruit made from gases, coming out of the exhaust pipe of a race car, there are different types of fruit; bright colors for the gaseous fruit   ",fruit
"surreal oil painting juice adventures magical fruit speakers with fruit dancing and hummingbirds drinking nectar, juices splash, fruit speakers, dancing vegetables   ",fruit
a close up photo of a jungle tree growing fruit but instead of fruit it's the rave smiley face image   ,fruit
"fruit, a devil fruit inspired by the manga One Piece, the name of the fruit is Ushi Ushi no Mi, Model: Llama and it looks like a pale apple with spirals on it and spirally leaves",fruit
"fruit, a devil fruit inspired by the manga One Piece, the name of the fruit is Ushi Ushi no Mi, Model: Llama and it looks like a pale green apple with spirals on it and spirally leaves",fruit
"a human face made entirely out of fruit, colorful fruit, tropical colors, exquisite detail, highly complex, photographic, photorealistic, cinematic   ",fruit
bunch of different fruit illustrations,fruit
"""Low Hanging Fruit"" comedy pop album",fruit
Fruit and silverware  ,fruit
Yellow background and passion fruit seeds patern,fruit
"Colorful, bright fruit, cornucopia of types of fruit, Flowing from the cornucopia are berries, grapes, apples, strawberries, blueberries, blackberries and raspberries, currants, gooseberry, mangos, pomegranates,nuts,seeds,and herbs different fruit colors, thick lines, twinkle and glow, cornucopia filled with fruit and fresh herbs",fruit
1970s east london market stall fruit and veg trader. facing left hand side holding fruit shouting. market in the background. realistic photograph style from the 1970s,fruit
"fruit, a devil fruit inspired by the manga One Piece, the name of the fruit is Ushi Ushi no Mi, Model: Llama and it looks like a pale green apple with spirals on it and spirally leaves",fruit
"coffee plant with fruit, modern flat vector style",fruit
"cocoa plant with fruit, modern flat vector style",fruit
a watercolour illustration of a fruit kawai style,fruit
"vitamin D advert with sun, people, fruit, happy",fruit
Trucks loaded with fruit are driving through orchards,fruit
single lychee fruit realistic illustration with marker pen,fruit
create passion fruit. Norse dragon. on white background,fruit
bowl of museli cereal with fruit. white background.,fruit
"a single shining forbidden fruit whith digital matrix, a solar system background with glitches behind the fruit, Gogh, Vexinski, Picasso and Andy Warhol collaborate, pen and ink, digital",fruit
"orange_(fruit), fruit, no_humans, bottle, sunglasses, food, hat, orange_slice, cup, phone, paper, pen, drink, book, cellphone, drinking_glass, still_life, eyewear_removed, glasses, pencil, eraser, alcohol, notebook, table, straw_hat   ",fruit
"a single, colorful piece of fruit resembling a sack, skin like textured fabric, little doors cover its skin. cartoon style, earthy tones --no face, no house, no fruit",fruit
"Colorful, bright fruits, thanksgiving cornucopia filled with types of fruit, spilling out onto a table from the cornucopia are berries, grapes, apples, strawberries, blueberries, blackberries, raspberries, currants, gooseberry, mangos, pomegranates, nuts, seeds, and herbs",fruit
"Shopee ingredient display picture contains Hops Flower Extract Thai Pueraria lobata Root Extract, African Chandelier Tree Fruit Extract Sausage Tree Fruit Extract these words are shown in the picture",fruit
an inside of a small grocery cute store with fresh organic produce and fruit with focus on fresh fruit salads and fresh squezzed juices   ,fruit
"Fruit basket, real photo, white background   ",fruit
oskar schlemmer lime fruit with leaves toy  ,fruit
"Rotten fruit made of chalcedony by Kathleen Ryan, asterism",fruit
"a white blobby monster made up of yogurt and passion fruit with yellow goo and black passion fruit seeds on it holding a spoon, white background, Pixar, cute 3d illustration",fruit
"a devil fruit with blue, red, black and white colours with a long curly round stem and a swirly pattern that resembles an actual devil fruit, cartoonish, anime, one piece,",fruit
"photorealistic image of a futuristic fruit stand in market, with large neon sign, employee working behind the counter, symmetrical, selling perfectly stacked bright coloured fruit, sunny weather, shallow depth of field",fruit
"a stylized all-seeing, omnipotent eye inside a pyramid, superimposed on a fruit bearing tree surreal, surrealism, style of james jean and bonnard, impressionistic, fruit, landscape, vivid, vibrant, clean lines v5",fruit
A pineapple is blown up in the middle of the fruit and the explosion causes many parts of the fruit and splashes of satin to fly away. ,fruit
Holly Jolly Christmas with a Holly Fruit Candle tshirt logo,fruit
"Product photo of a mango fruit, white background   ",fruit
vintage illustration of a tropical fruit smoothie. white background. watercolor,fruit
"style: chibi, halflings carrying huge amounts of fruit and vegetables",fruit
Frozen Fruit Whip  ,fruit
Fruit Cocktail Cake ,fruit
Fruit Crochet Knitting Sweet Tote Bag ,fruit
"spring themed minimal poster , fruit, plant, modern style ",fruit
"monocolor fruit pattern, drawing style   ",fruit
"""Create a picture of the dragon fruit, also known as pitaya, cut in half and placed on a palm leaf. Both halves should be open to show the bright pink pulp with black seeds. Add drops of fruit juice to give the impression that the fruit is juicy and ready to eat.Make sure the image is bright and colourful, with vivid tones to remind us of the exoticism and originality of this too often overlooked fruit.""",fruit
"photorealistic image of a futuristic fruit stand in Borough market London, with large neon sign, employee working behind the counter, symmetrical, selling perfectly stacked bright coloured fruit, sunny weather, shallow depth of field",fruit
"a one piece devil fruit, make it in deep tiktok colours with the devil fruit aesthetic, make the stem long to the left and short to the right in the one piece style",fruit
cashew fruit on white background. illustration. ,fruit
logo vector cartoon crepe triangle happy with whipped cream and fruit,fruit
"bags of groceries containing fruit, milk, and vegetables ",fruit
"a real picture of kiwi fruit, high-res, PNG   ",fruit
"large view, fruit tree forest, juicy, highly detailed, cinematic, drawing style",fruit
3 fruit carrying drones with white background. 4pm shadowing hyper realistic,fruit
"Let the earth produce green grass, grass that bears seed; fruit tree that bears fruit after its kind, that its seed is in it, on the earth. And it was so. So the earth produced green grass, grass yielding seed according to its nature,and a tree yielding fruit, whose seed is in it, according to its kind.",fruit
"We are the order in the chaos. There will be horror and beauty. No matter how you live your life nor how long you live your life, it will end in tragedy. Pick a fruit for yourself, share fruit you do not need, and plant seeds so that the future might know fruit. Abstract style ",fruit
"Durian fruit bowls, tropical fruit, lots of colours, cinematographic, photorealistic, Cinematic, Colour Grading, portrait photography, Depth of Field, hyper-detailed, beautifully coloured, intricate detail, Editorial Photography, Photography, Photo Shoot, natural lighting ",fruit
"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.",fruit
"award winning photo of fruit and vegetable spread, modern kitchen, natural light",fruit
a African fairy flying through the a thick fruit field rain forest,fruit
the photo of an alien fruit growing in a dimly lit forest,fruit
happy lemon fruit mascot with lemonade juice and lemonade droplets around it,fruit
"rotten fruit from precious stones glass and sequins by Kathleen Ryan, asterism",fruit
create a warrior viking woman with a passion fruit. on white background,fruit
an Easter egg with various types of fruit and vegetables around it,fruit
"background dreamy fruit delights, pastel ",fruit
"a happy squid, with blackberry fruit, simple illustration for a beer label",fruit
"Oil painting fruit still life, abstract, collage, modern, masterpiece ",fruit
a piece of juicy fruit gun with the word juicy pump on it,fruit
"Bowl of fruit, water splash, double exposure, rustic color",fruit
"DMT Fruit Imperator ZPunk Risograph ilustracja Marco Mazzoni, Moebius, Philippe Druillet ",fruit
mona lisa durian fruit ,fruit
"rotten fruit from precious stones and sequins by Kathleen Ryan, asterism ",fruit
"acai dragon fruit milkshake looking decadent and drooping over a tansparent, minimal glass.",fruit
peeling off surface of a date fruit with a shaving razor ,fruit
"Country style, Fruit garden, sunny, background in dream,   ",fruit
"close-up food photography, mouldy fruit on black rustic plate, with olive brown jus",fruit
fruit and vegetable wall paper design in the style of a wes anderson film,fruit
"award winning photo of fruit and vegetable spread, modern kitchen, natural light ",fruit
"professional photo, photorealistic, B2B, vegetable fruit store, balance, software      ",fruit
"interconnecting circles each enclosing a fruit icon, vegetable icon, water drop icon, sleep icon",fruit
a screenshot from a digital slot machine game that includes fruit and money icons,fruit
Fruit-tree Leshy druid from fantasy setting. It is small and cute. Slightly cartoonish,fruit
"""FLOMOTION"" as an orange neon sign with citrus fruit oranges on completely black background",fruit
an Easter egg with various types of fruit and vegetables around it   ,fruit
"blank round canvas mockup, fruit decor around it, photo, realistic ",fruit
"A half red dragon fruit isolate lies 90 degree on the smooth floor, bright background",fruit
"a sticker set with each vegtable, meat and fruit seperate stickers for each of them.",fruit
"Product shot of dragon fruit as a loungechair, furniture design, photorealistic   ",fruit
pastel soft background one fruit on crushed ice ,fruit
"Megabats constitute the family Pteropodidae of the order Chiroptera (bats). They are also called fruit bats, Old World fruit bats, or--especially the genera Acerodon and Pteropus--flying foxes. ",fruit
"coloring book, black and white, drawing of dreamy A fruit leather meadow: A meadow covered in bright fruit leather stretches out before you. The sky is dotted with fluffy marshmallow clouds , in the style of unreal engine 5, monochromatic sketches, cute and dreamy,",fruit
an arabic hand drawn illustration of a grassy garden with fruit trees growing around the edges,fruit
"blue and purple fox, birthday hat, fruit vegan cake ",fruit
a small grocery cute store with fresh organic produce and fruit   ,fruit
"create a hyper realistic photo of jesus wearing issey miyake pleats please pants and jacket while skateboarding in a giant glass fruit bowl as though taken by a drone at a high angle, give the effect of dynamic motion and flash photography in the style of a thrasher magazine cover",background
"a artistic creation of the word ""FRUIT,"" where each letter is made from different types of fruits to reflect the vast variety and richness of an orchard. The ""F"" is formed with slices of citruses arranged to resemble a sunrise, the ""R"" from an assortment of berries, the ""U"" with tropical fruit slices to suggest a lush paradise, the ""I"" from stone fruits to capture the essence of summer, and the ""T"" from apple and pear slices representing autumn's crispness. The artwork should be in high 32K resolution to capture every detail, set against an orchard scene that enhances the fruity theme with naturalistic, Eden-like surroundings.  ",background
"Watercolor painting and illustration of small of mushrooms in various sizes staggered on a cottage windowsill with soft light filtering in the window. Dried fresh herbs hanging to dry in the window above the jars and fresh fruit and berries collected in a beautiful bowl::9 sublte soft colors, illustration lines, twinkle and glow, varried size, 1970's inspired designed jars:: realistic, cinematic, illustration::2.5 A Variety of many jars of dried Mushrooms on a windowsill with soft light filterning in from cottage style window sill. Relaxing hues, popping colors in fruit/berries in a bowl, watercolor 1970's ",background
"a colorful caterpillar with colorful frosting and candy, in the style of psychedelic soundscapes, medical imaging film., large-scale installations, photobashing, honeycore, miniature sculptures, colorful animation stills, a colorful design image of a caterpillar on a black background, in the style of daniel arsham, toy camera effects, elaborate fruit arrangements, 32k uhd, spiral group, close-up, herbert bayer, a colorful circle is created with some frosting, in the style of surrealist metamorphosis, 32k uhd, lovecraftian, molecular, figura serpentinata, junglepunk, smilecore, the images of butterflies in a spiral design of colorful circles, in the style of rachel maclean, elaborate fruit arrangements, experimental cinematography, poured resin, close-up, harald sohlberg, rendered in cinema4d, 8k, ray tracing  ",background
"simple and detailed company logo. Minimalist yet elegant design. Futuristic and nature-inspired design. cute. The company makes sweets at the foot of the mountain.. The logo includes low mountains, nature and fruit. white background. Representing a mountain in a cup like gelato. Design inspired by Mucha  ",background
"simple and detailed company logo. Minimalist yet elegant design. Futuristic and nature-inspired design. cute. three-dimensional and colorful. The company makes sweets at the foot of the mountain.. The logo includes low mountains, nature and fruit. white background. Representing a mountain in a cup like gelato  ",background
"8k. Colorful. Cinematic. And to Adam he said, Because you gave ear to the voice of your wife and took of the fruit of the tree which I said you were not to take, the earth is cursed on your account; in pain you will get your food from it all your life.",background
"Like the attached link, change the character to the following, a bright blonde 7-year-old girl with a red fruit-decorated hairpin, blonde hair length down to her waist, shiny green eyes, white skin tone, vintage red dress and brown shoes, animation style, character design model sheet, white background",background
"an extremely modern minimalist style house, with 4 floors, about 11m high, 4m wide and 12m long, the top floor is a green garden with many fruit trees, a relaxing cafe table, a 5m front yard on the ground, backyard 5m, with many vines combined with roses, bright colors, daylight, 4k, so detailed",background
photorealistic. 4k. zoomed out. aerial view. scenic. in the distance there is an individual mango tree. bioluminescent glowing yellow-orange fruit on the tree. forest grove environment with trees in surrounding area. mountainous region. early dawn. multiple light sources. high detail. ultra realistic. extended ultra-wide angle frame. cyberpunk theme. ,background
"full view of tarot card with intricate detailed frame around the outside, rotting fruit, grotesque, slime, evil, red, styled in Art Nouveau | in the style of anime style, inking, graffiti art, graphic, neon colors, golden ratio composition| insanely detailed | embellishments | high definition | concept art | digital art | vibrant, 8k  ",background
"in the style of Josephine Wall, A grown woman was walking in the middle of a garden with nine very large gold coins. The luxuriant grape lords heavy with fruit and the golden coins represent the auspicious achievement of all his wishes. The eagle perched calmly on her left hand ",background
"A professional product photo of orange juice in reusable glass bottles with metal bottle cap and no label. The juice is displayed in the background of fruit garden with a varitey of wonky and weird fruits and other natural elements such as bee, birds and flowers that emphasize in eco-friendly concept.",background
"cocktail, 2 oz vodka 1 oz lychee liqueur 1 oz lychee juice 1/2 oz simple syrup 1/2 oz lime juice Lychee fruit for garnish, tear of sadness in silence, volumetric lightening, bioluminescence, mystic, 3d, super detail, product photography, octane render, unreal engine 5, 32K,   ",background
"create a digital image of a sassy fig fruit character personified as a stylish and confident woman. The character should have a purple fig body with green leaves, high heels, and lipstick. The character should be striking a dynamic pose with her hand on her hip and an amused smirk on her face.",background
"a dense and magical garden within high blank brick walls, brightly lit— no shadows, hyper-vivid colors, iridescent flowers, vibrant glowing humming birds and butterflies, tall trees with exotic fruit, climbing vines with translucent gold berries. Tropical. hyperrealistic, 8k, unreal, candid, 100mm lens, Nikon D850 DSLR 4k, F 1.2 ",background
"This salad is a true masterpiece that combines the flavors of fresh and exotic vegetables. It starts with a bed of crisp, mixed greens, including baby spinach and arugula. The salad is then topped with a colorful array of vegetables, including sliced heirloom tomatoes, roasted red peppers, and shaved fennel. To add an exotic twist, the salad features thinly sliced dragon fruit, a tropical fruit with a bright pink interior and a mildly sweet taste. The dragon fruit adds a burst of flavor and texture to the dish, making it truly unique. To finish off the salad, a tangy vinaigrette is drizzled over the top, made with a blend of olive oil, red wine vinegar, Dijon mustard, and honey. The dressing perfectly complements the flavors of the vegetables, adding a touch of sweetness and acidity. As for the plate, it is a beautifully crafted ancient Greek plate named after Zeus, the king of the gods. Made of gleaming white porcelain and adorned with intricate gold detailing, the plate is the perfect vessel to showcase this exquisite salad. With its stunning presentation and incredible flavors, this salad is a true feast fit for the gods.",background
"Modern decoration style kitchen, realistic, natural light, details, 8k, clear, tableware, high resolution, white baby sitting at the dining table, baby very realistic, baby smiling, baby nibbling on the edge of the bowl, fruit in the plate on the table, kitchen clean and bright, white tone, Canon r5,85mm, rich in details ",background
"A trio sitting together. A blue robot, a lumberjack dressed in blue with orange beard, a blue luchador wrestler sitting in a blue room with a big chrome microphone in the middle of the room. Blue chandelier glowing with sparkles. Vintage couches and paintings of fruit on the walls. In a wes Anderson cinematic style.",background
"the cover of a passion fruit advertisement,shows some pieces of very juicy fruits floating in lots of fluids ,ultra-realistic big fruits, red and light blue, natural light, advertising design poster, movie poster, macro scene,big atmosphere, rendered in cinema4d,texture-based, realistic details, movie lighting, 8k   ",background
"a high quality heaven, sun light shine, basil plants every where, a big castle far away, water rivers on the side of the castle, fresh fruit tress, and a beautiful wife, and a lot of diamonds and gold, 3d design, wallpaper, high detailed, 3d max design,  ",background
"Suddenly, the monkey that had caught Lila's eye reached down and grabbed a banana from a nearby basket. It peeled the banana with ease, as if it had done it a thousand times before. Lila watched in amazement as the monkey took bites of the fruit, chattering all the while.",background
"kawaii vector clipart of a lime fruit that is merged with a submarine. It has a periscope on top of its body and the periscope has a leaf growing out of it. The body has a single propeller at its rear. Background should be underwater, near the ocean floor.",background
"The logo of an apple company, features a simple, flat graphic of an apple, with a leaf and stem on a white background. The name ""Pomus"" is written in a bold and modern font, underneath the apple graphic. The font is easy to read and complements the simplicity of the apple graphic. This logo design is minimal and clean, making it easily recognizable and memorable. The use of colors is minimal, with white background. The flat graphic style gives it a modern look and feel, which is perfect for a fruit company looking to appeal to a younger demographic. Overall, this logo design for ""Pomus"" fruit company is simple, modern, and visually appealing, while effectively incorporating the apple graphic and the company name, ",background
"Neon glowing pear seed carries the knowledge of which neon glowing pear it will bear, A kingdom made of BLUE and PINK DECONSTRUCTION OF THE DIVIDED INTO PARTS AND TAKEN APART, ELEMENTS STICKING OUT OF THE FRUIT, ARTIFICIAL INTELIGENCE, DNA STRUCTURE, a world as if from dreams, where everything is made of BLUE and PINK DECONSTRUCTION OF THE DIVIDED INTO PARTS AND TAKEN APART, ELEMENTS STICKING OUT OF THE FRUIT, ARTIFICIAL INTELIGENCE, DNA STRUCTURE, neon glowing pear seed carries the knowledge of which neon glowing pear it will bear, A neon glowing pear seed carries the knowledge of which neon glowing pear will bear, HD, 4K, 8K, high detail, neon glowing ARTIFICIAL INTELIGENCE, DNA STRUCTURE background, HD, 4K, 8K, high detail ",background
"A hyper realistic vivid powerful cinematic image of This luxurious and unique Golden Euphoria Cake is the perfect centerpiece for a memorable 50th wedding anniversary celebration. With its stunning gold-dusted champagne-infused cake layers, tangy passion fruit curd filling, and luscious white chocolate ganache frosting, this cake truly embodies the elegance and joy of a golden anniversary.",background
"matte black lid on matte black tub for pre-workout sitting on top of a chopped log of wood, bush and flowers jungle aesthetic, variety of fruits and fruit trees and leaves surrounding, in a dense tropical jungle environment, hyper realistic, colorful environment, sunny lighting, product imagery, 50mm lens, canon 1dx camera   ",background
"picnic on a blanket in dense grass with wild flowers, a huge background with a field with fruit trees stretching into the distance, mountains are visible in the distance, glowing soft light, fuji color film, shot on Kodak Gold 200, Hasselblad, natural sunset light, ultra details, great quality",background
"A green deep plate, which should radiate health. This plate is supposed to represent a breakfast. Breakfast is bowl of oatmeal with yogurt and fruit. Included ingredients are oatmeal, almond milk, Greek yogurt, chia seeds, chopped nuts (almonds, walnuts, cashews), honey or agave syrup, banana, strawberries, coconut flakes. It should look like a realistic photo. The background is transparent.",background
"A tree on a hill in the distance. The tree has bright white leaves and fruit and stands out on the scene. There is a path leading to the tree. The rest of the scene is dark, misty, greyish brown. There is a muddy river that is off to the far side of the tree that isn't in focus.",background
"currants, cantaloupe, cherries in elegant, surreal, realistic, illustration, with border page lined with vines and leaves::9 sublte soft colors, illustration lines, twinkle and glow, varried size:: elegant art style, painterly, watercolor 70's flair::2.5 Detailed patterns, sketched fruit with watercolor and soft hues",background
